Malzeme,Parametre,Klimeck,SVR-6feat,SVR-12feat
GaSb,Vssapc,4.69778,4.68994,4.69384
GaSb,Vsscpa,4.09285,4.18108,4.13656
GaSb,Vsssa,0.00000,0.00000,0.00000
GaSb,delta_so_a,0.75773,0.77170,0.77189
GaSb,delta_so_c,0.15778,0.15545,0.15819
AlSb,Es_a,-4.55720,-4.54413,-4.55260
AlSb,Ep_a,0.01635,0.01685,0.01582
AlSb,Ess_a,9.84286,9.85446,9.84063
AlSb,Es_c,-4.11800,-4.10237,-4.09858
AlSb,Ep_c,4.87411,4.87389,4.87371
AlSb,Ess_c,7.43245,7.49548,7.44979
AlSb,Vss,-6.63365,-6.62103,-6.62959
AlSb,Vxx,1.10706,1.11369,1.11202
AlSb,Vxy,4.89960,4.90178,4.88997
AlSb,Vsapc,4.58724,4.61618,4.60984
AlSb,Vscpa,8.53398,8.55195,8.54907
AlSb,Vssapc,7.38446,7.44395,7.42610
AlSb,Vsscpa,6.29608,6.27235,6.26494
AlSb,Vsssa,0.00000,0.00000,0.00000
AlSb,delta_so_a,0.70373,0.70283,0.70298
AlSb,delta_so_c,0.03062,0.02996,0.02998
InSb,Es_a,-7.80905,-7.84795,-7.85037
InSb,Ep_a,-0.14734,-0.14787,-0.14732
InSb,Ess_a,7.43195,7.39938,7.40516
InSb,Es_c,-2.83599,-2.84962,-2.83658
InSb,Ep_c,3.91522,3.88694,3.89321
InSb,Ess_c,3.54540,3.52407,3.53437
InSb,Vss,-4.89637,-4.92534,-4.90476
InSb,Vxx,0.75260,0.75045,0.75228
InSb,Vxy,4.48030,4.47303,4.47773
InSb,Vsapc,3.33714,3.31373,3.31869
InSb,Vscpa,5.60426,5.74804,5.72001
InSb,Vssapc,4.59953,4.61517,4.61664
InSb,Vsscpa,-2.53756,-2.50266,-2.54566
InSb,Vsssa,0.00000,0.00000,0.00000
InSb,delta_so_a,0.85794,0.87035,0.87063
InSb,delta_so_c,0.51000,0.50878,0.51192
